datetime;timestamp;humidity;pressure;pump_time;soil_moisture;temperature;soil_moisture_roll;soil_moisture_lag1;soil_moisture_lag2;soil_moisture_lag3;soil_diff;hour_sin;hour_cos;partial_pressure;saturated_pressure;VPD
2026-08-14 06:07:48;839995307;38.25;1011.3;0.0;118.66;21.4;119.04437499999999;118.81;118.24;118.38;-0.15000000000000568;0.999533590836713;-0.030538513209822475;979.4427892510244;2560.634743139933;1.5811919538889088
2026-08-14 06:22:48;839996207;38.27;1011.33;0.0;118.52;21.28;118.95374999999999;118.66;118.81;118.24;-0.14000000000000057;0.9953961983671789;-0.09584575252022395;972.7698119794801;2541.859973816253;1.569090161836773
2026-08-14 06:37:48;839997107;38.52;1011.26;0.0;117.39;21.17;118.7925;118.52;118.66;118.81;-1.1299999999999955;0.9869963665602319;-0.160742565603826;972.5356085750437;2524.7549547638723;1.5522193461888287
2026-08-14 06:52:48;839998007;38.46;1011.23;0.0;117.25;21.18;118.613125;117.39;118.52;118.66;-0.14000000000000057;0.9743700647852352;-0.22495105434386503;971.6170994010638;2526.3055106631923;1.5546884112621284
2026-08-14 07:07:48;839998907;38.78;1011.14;0.0;117.25;21.13;118.48;117.25;117.39;118.52;0.0;0.9575713608048145;-0.28819626813408905;976.6972805205817;2518.5592586915463;1.5418619781709646
2026-08-14 07:22:48;839999807;38.57;1011.05;0.0;116.84;21.21;118.26625;117.25;117.25;117.39;-0.4099999999999966;0.9366721892483977;-0.3502073812594673;976.191851393968;2530.9615021881464;1.5547696507941782
2026-08-14 07:37:48;840000707;38.3;1011.03;0.0;116.43;21.37;118.126875;116.84;117.25;117.25;-0.4099999999999966;0.9117620435770886;-0.4107188526134773;978.9202741898945;2555.9276088508996;1.5770073346610052
2026-08-14 07:52:48;840001607;38.55;1011.15;0.0;116.29;21.51;117.97874999999999;116.43;116.84;117.25;-0.14000000000000057;0.8829475928589269;-0.4694715627858909;993.7999083260762;2577.9504755540243;1.5841505672279481
2026-08-14 08:07:48;840002507;38.85;1011.16;0.0;116.02;21.77;117.786875;116.29;116.43;116.84;-0.27000000000001023;0.8503522249955628;-0.5262139236518696;1017.5938423553598;2619.2891695118656;1.6016953271565058
2026-08-14 08:22:48;840003407;38.54;1011.16;0.0;114.3;22.18;117.514375;116.02;116.29;116.43;-1.7199999999999989;0.8141155183563192;-0.5807029557109398;1035.051562230934;2685.655324937556;1.6506037627066221
2026-08-14 08:37:48;840004307;37.4;1010.97;0.0;112.27;22.74;117.09687500000001;114.3;116.02;116.29;-2.030000000000001;0.7743926440821857;-0.632705328562516;1039.223994747428;2778.673782747134;1.739449787999706
2026-08-14 08:52:48;840005207;36.05;1010.93;0.0;111.66;23.23;116.685625;112.27;114.3;116.02;-0.6099999999999994;0.7313537016191706;-0.6819983600624984;1031.8821121887975;2862.363695391949;1.8304815832031516
2026-08-14 09:07:48;840006107;34.65;1011.01;0.0;110.94;23.75;116.203125;111.66;112.27;114.3;-0.7199999999999989;0.685182990326359;-0.7283709698824004;1023.4153078498229;2953.579532034121;1.9301642241842978
2026-08-14 09:22:48;840007007;33.64;1010.89;0.0;109.3;24.43;115.63562499999999;110.94;111.66;112.27;-1.6400000000000006;0.6360782202777638;-0.77162458338772;1034.9967888149001;3076.68486568044;2.04168807686554
2026-08-14 09:37:48;840007907;32.33;1010.65;0.0;109.3;24.88;115.07687499999999;109.3;110.94;111.66;0.0;0.5842496656374344;-0.8115739819650123;1021.8195136019411;3160.59237117829;2.1387728575763485
2026-08-14 09:52:48;840008807;31.96;1010.51;0.0;109.07;25.32;114.468125;109.3;109.3;110.94;-0.23000000000000398;0.5299192642332049;-0.848048096156426;1036.9615694318165;3244.560605230965;2.2075990357991486
2026-08-14 10:07:48;840009707;31.15;1010.47;0.0;109.53;25.86;113.89750000000001;109.07;109.3;109.3;0.46000000000000796;0.4733196671848435;-0.8808907382053855;1043.6089078324733;3350.269367038437;2.306660459205964
