timestamp,datetime,humidity,pressure,pump_time,soil_moisture,temperature
839241107,2026-08-05 12:31:47,43.96,1007.23,0.00,124.57,28.68
839242007,2026-08-05 12:46:47,44.21,1007.25,0.00,124.41,28.59
839242907,2026-08-05 13:01:47,45.00,1007.14,0.00,124.89,28.42
839243807,2026-08-05 13:16:47,45.87,1007.11,0.00,124.41,28.42
839244707,2026-08-05 13:31:47,44.99,1007.16,0.00,124.89,28.50
839245607,2026-08-05 13:46:47,43.93,1007.10,0.00,124.41,28.57
839246507,2026-08-05 14:01:47,45.87,1007.11,0.00,125.22,28.26
839247407,2026-08-05 14:16:47,46.37,1007.32,0.00,125.38,28.07
839248307,2026-08-05 14:31:47,45.93,1007.27,0.00,125.06,28.12
839249207,2026-08-05 14:46:47,44.83,1007.18,0.00,123.46,28.41
839250107,2026-08-05 15:01:47,44.16,1007.14,0.00,124.25,28.77
839251007,2026-08-05 15:16:47,43.96,1007.07,0.00,122.53,28.53
839251907,2026-08-05 15:31:47,43.39,1006.98,0.00,122.68,28.77
839252807,2026-08-05 15:46:47,39.85,1006.88,0.00,122.53,28.77
839253707,2026-08-05 16:01:47,40.91,1006.85,0.00,126.36,28.76
839254607,2026-08-05 16:16:47,41.19,1006.87,0.00,127.36,28.70
839255507,2026-08-05 16:31:47,42.54,1006.93,0.00,127.36,28.91
839256407,2026-08-05 16:46:47,42.73,1006.84,0.00,128.72,28.75
839257307,2026-08-05 17:01:47,41.56,1006.74,0.00,128.21,28.65
839258207,2026-08-05 17:16:47,41.60,1006.74,0.00,128.55,28.58
839259107,2026-08-05 17:31:47,41.95,1006.69,0.00,127.87,28.50
839260007,2026-08-05 17:46:47,42.24,1006.61,0.00,128.55,28.31
839260907,2026-08-05 18:01:47,42.93,1006.69,0.00,128.72,28.10
839261807,2026-08-05 18:16:47,42.37,1006.81,0.00,128.21,27.76
839262707,2026-08-05 18:31:47,43.50,1006.80,0.00,128.72,27.72
839263607,2026-08-05 18:46:47,42.67,1007.01,0.00,129.07,27.45
839264507,2026-08-05 19:01:47,44.44,1007.17,0.00,128.89,27.11
839265407,2026-08-05 19:16:47,45.48,1007.35,0.00,129.24,26.86
839266307,2026-08-05 19:31:47,45.48,1007.36,0.00,128.72,26.79
839267207,2026-08-05 19:46:47,45.65,1007.50,0.00,128.89,26.88
839268107,2026-08-05 20:01:47,46.02,1007.50,0.00,129.24,26.64
839269007,2026-08-05 20:16:47,45.73,1007.63,0.00,129.41,26.58
839269907,2026-08-05 20:31:47,46.10,1007.73,0.00,129.41,26.46
839270807,2026-08-05 20:46:47,46.31,1007.89,0.00,129.59,26.49
839271707,2026-08-05 21:01:47,46.41,1007.89,0.00,129.59,26.35
839272607,2026-08-05 21:16:47,46.64,1008.04,0.00,129.76,26.12
839273507,2026-08-05 21:31:47,46.87,1008.29,0.00,130.64,25.92
839274407,2026-08-05 21:46:47,48.56,1008.38,0.00,129.24,25.79
839275307,2026-08-05 22:01:47,48.75,1008.59,0.00,130.29,25.59
839276207,2026-08-05 22:16:47,49.49,1008.79,0.00,129.94,25.28
839277107,2026-08-05 22:31:47,49.93,1008.88,0.00,129.76,25.06
839278007,2026-08-05 22:46:47,50.55,1008.95,0.00,130.64,24.85
839278907,2026-08-05 23:01:47,51.11,1009.07,0.00,130.29,24.59
839279807,2026-08-05 23:16:47,51.75,1009.19,0.00,130.64,24.35
839280707,2026-08-05 23:31:47,52.26,1009.17,0.00,131.53,24.13
839281607,2026-08-05 23:46:47,52.76,1009.26,0.00,131.35,23.97
839282507,2026-08-06 00:01:47,52.91,1009.31,0.00,132.07,23.78
839283407,2026-08-06 00:16:47,53.12,1009.40,0.00,131.17,23.73
839284307,2026-08-06 00:31:47,53.12,1009.68,0.00,130.64,23.50
839285207,2026-08-06 00:46:47,53.45,1009.73,0.00,130.99,23.46
839286107,2026-08-06 01:01:47,53.59,1009.82,0.00,131.53,23.28
839287007,2026-08-06 01:16:47,53.68,1009.86,0.00,130.46,23.20
839287907,2026-08-06 01:31:47,54.25,1009.91,0.00,131.17,23.01
839288807,2026-08-06 01:46:47,54.82,1009.96,0.00,131.35,22.82
839289707,2026-08-06 02:01:47,55.21,1010.04,0.00,131.71,22.69
839290607,2026-08-06 02:16:47,55.39,1010.09,0.00,131.17,22.51
839291507,2026-08-06 02:31:47,53.54,1010.10,0.00,132.25,22.08
839292407,2026-08-06 02:46:47,52.13,1010.09,0.00,132.07,21.97
839293307,2026-08-06 03:01:47,50.65,1010.21,0.00,132.07,21.98
839294207,2026-08-06 03:16:47,50.00,1010.16,0.00,133.35,21.45
839295107,2026-08-06 03:31:47,48.98,1010.19,0.00,133.90,21.16
839296007,2026-08-06 03:46:47,49.16,1010.34,0.00,133.53,21.00
839296907,2026-08-06 04:01:47,48.36,1010.35,0.00,133.35,21.14
839297807,2026-08-06 04:16:47,48.64,1010.32,0.00,134.09,20.84
839298707,2026-08-06 04:31:47,48.50,1010.34,0.00,133.72,20.77
839299607,2026-08-06 04:46:47,47.64,1010.46,0.00,134.28,20.64
839300507,2026-08-06 05:01:47,47.78,1010.51,0.00,133.90,20.30
839301407,2026-08-06 05:16:47,47.97,1010.51,0.00,133.72,20.23
839302307,2026-08-06 05:31:47,47.60,1010.61,0.00,134.28,20.29
839303207,2026-08-06 05:46:47,48.02,1010.81,0.00,134.09,20.01
839304107,2026-08-06 06:01:47,49.01,1010.94,0.00,134.65,19.52
839305007,2026-08-06 06:16:47,48.65,1011.10,0.00,134.28,19.82
839305907,2026-08-06 06:31:47,48.92,1011.17,0.00,134.84,19.81
839306807,2026-08-06 06:46:47,50.02,1011.20,0.00,134.46,19.41
839307707,2026-08-06 07:01:47,51.01,1011.25,0.00,134.46,19.17
839308607,2026-08-06 07:16:47,51.98,1011.24,0.00,135.22,19.05
839309507,2026-08-06 07:31:47,52.09,1011.32,0.00,134.46,19.40
839310407,2026-08-06 07:46:47,53.59,1011.41,0.00,134.46,19.17
839311307,2026-08-06 08:01:47,55.10,1011.39,0.00,134.84,19.26
839312207,2026-08-06 08:16:47,55.22,1011.50,0.00,133.53,19.55
839313107,2026-08-06 08:31:47,56.08,1011.64,0.00,134.09,19.74
839314007,2026-08-06 08:46:47,56.84,1011.82,0.00,132.62,19.90
839314907,2026-08-06 09:01:47,56.77,1011.88,0.00,132.62,19.98
839315807,2026-08-06 09:16:47,56.14,1011.86,0.00,131.17,20.36
839316707,2026-08-06 09:31:47,55.52,1011.93,0.00,131.35,20.73
839317607,2026-08-06 09:46:47,53.95,1012.03,0.00,129.59,21.19
839318507,2026-08-06 10:01:47,53.52,1012.08,0.00,128.89,21.21
839319407,2026-08-06 10:16:47,54.00,1012.06,0.00,129.76,21.14
839320307,2026-08-06 10:31:47,53.66,1012.15,0.00,128.72,21.37
839321207,2026-08-06 10:46:47,52.54,1012.28,0.00,128.72,22.13
839322107,2026-08-06 11:01:47,49.57,1012.28,0.00,128.72,22.95
839323007,2026-08-06 11:16:47,49.53,1012.35,0.00,128.72,23.11
839323907,2026-08-06 11:31:47,47.46,1012.43,0.00,128.72,22.78
839324807,2026-08-06 11:46:47,45.37,1012.47,0.00,128.21,22.98
839325707,2026-08-06 12:01:47,44.96,1012.57,0.00,127.03,23.75
839326607,2026-08-06 12:16:47,41.58,1012.55,0.00,127.03,24.76
839327507,2026-08-06 12:31:47,41.43,1012.65,0.00,126.36,24.52
839328407,2026-08-06 12:46:47,42.17,1012.86,0.00,127.03,23.46
839329307,2026-08-06 13:01:47,41.42,1012.87,0.00,127.53,23.36
839330207,2026-08-06 13:16:47,41.44,1012.90,0.00,127.53,23.40
839331107,2026-08-06 13:31:47,39.99,1012.81,0.00,127.70,23.58
839332007,2026-08-06 13:46:47,38.59,1012.74,0.00,125.71,24.13
839332907,2026-08-06 14:01:47,36.78,1012.89,0.00,126.36,23.80
839333807,2026-08-06 14:16:47,35.68,1012.85,0.00,124.89,24.53
839334707,2026-08-06 14:31:47,35.89,1012.80,0.00,124.89,24.24
839335607,2026-08-06 14:46:47,36.89,1012.79,0.00,123.46,24.29
839336507,2026-08-06 15:01:47,32.73,1012.60,0.00,121.61,24.98
839337407,2026-08-06 15:16:47,32.21,1012.80,0.00,122.99,24.89
839338307,2026-08-06 15:31:47,31.46,1012.70,0.00,120.26,25.49
839339207,2026-08-06 15:46:47,33.49,1012.73,0.00,121.91,24.85
839340107,2026-08-06 16:01:47,34.62,1012.75,0.00,121.16,24.93
839341007,2026-08-06 16:16:47,34.18,1012.78,0.00,121.76,24.69
839341907,2026-08-06 16:31:47,34.53,1012.72,0.00,123.46,24.65
839342807,2026-08-06 16:46:47,34.32,1012.88,0.00,123.31,24.43
839343707,2026-08-06 17:01:47,36.03,1012.89,0.00,123.46,24.04
839344607,2026-08-06 17:16:47,34.18,1013.00,0.00,123.46,24.43
839345507,2026-08-06 17:31:47,34.54,1013.00,0.00,123.46,24.28
839346407,2026-08-06 17:46:47,35.24,1012.97,0.00,123.46,24.06
839347307,2026-08-06 18:01:47,34.18,1012.92,0.00,123.46,23.84
839348207,2026-08-06 18:16:47,34.26,1012.84,0.00,122.99,23.75
839349107,2026-08-06 18:31:47,35.91,1013.09,0.00,124.25,23.60
839350007,2026-08-06 18:46:47,35.68,1013.09,0.00,123.78,23.30
839350907,2026-08-06 19:01:47,36.04,1013.15,0.00,123.46,23.13
839351807,2026-08-06 19:16:47,35.64,1013.17,0.00,123.46,22.85
839352707,2026-08-06 19:31:47,35.41,1013.35,0.00,123.46,22.65
839353607,2026-08-06 19:46:47,39.26,1013.49,0.00,124.41,22.49
839354507,2026-08-06 20:01:47,39.86,1013.67,0.00,123.62,22.08
839355407,2026-08-06 20:16:47,39.54,1013.83,0.00,123.62,21.78
839356307,2026-08-06 20:31:47,39.48,1013.89,0.00,124.09,21.31
839357207,2026-08-06 20:46:47,40.03,1014.08,0.00,124.25,20.90
839358107,2026-08-06 21:01:47,40.25,1014.20,0.00,124.57,20.86
839359007,2026-08-06 21:16:47,40.33,1014.38,0.00,125.06,20.61
839359907,2026-08-06 21:31:47,40.72,1014.60,0.00,124.89,20.38
839360807,2026-08-06 21:46:47,40.73,1014.84,0.00,124.41,20.31
839361707,2026-08-06 22:01:47,41.14,1014.90,0.00,124.25,20.16
839362607,2026-08-06 22:16:47,41.98,1015.22,0.00,124.57,19.91
839363507,2026-08-06 22:31:47,42.43,1015.29,0.00,124.57,19.88
839364407,2026-08-06 22:46:47,43.10,1015.56,0.00,124.25,19.85
839365307,2026-08-06 23:01:47,43.79,1015.63,0.00,125.54,19.71
839366207,2026-08-06 23:16:47,44.80,1015.80,0.00,124.89,19.51
839367107,2026-08-06 23:31:47,45.28,1015.75,0.00,124.89,19.34
839368007,2026-08-06 23:46:47,46.01,1015.83,0.00,124.41,19.09
839368907,2026-08-07 00:01:47,46.99,1015.92,0.00,124.89,18.85
839369807,2026-08-07 00:16:47,47.31,1015.93,0.00,124.89,18.65
839370707,2026-08-07 00:31:47,48.20,1016.00,0.00,125.22,18.36
839371607,2026-08-07 00:46:47,48.76,1016.02,0.00,125.71,18.16
839372507,2026-08-07 01:01:47,48.87,1016.12,0.00,124.89,18.03
839373407,2026-08-07 01:16:47,49.78,1016.11,0.00,125.22,17.80
839374307,2026-08-07 01:31:47,50.24,1016.32,0.00,125.54,17.65
839375207,2026-08-07 01:46:47,51.09,1016.36,0.00,126.03,17.52
839376107,2026-08-07 02:01:47,51.73,1016.36,0.00,124.57,17.33
839377007,2026-08-07 02:16:47,52.12,1016.49,0.00,125.06,17.24
839377907,2026-08-07 02:31:47,52.92,1016.39,0.00,125.54,17.08
839378807,2026-08-07 02:46:47,53.62,1016.38,0.00,125.87,16.99
839379707,2026-08-07 03:01:47,54.31,1016.41,0.00,125.54,16.79
839380607,2026-08-07 03:16:47,55.04,1016.27,0.00,125.87,16.59
839381507,2026-08-07 03:31:47,55.67,1016.25,0.00,125.38,16.46
839382407,2026-08-07 03:46:47,56.22,1016.37,0.00,125.71,16.34
839383307,2026-08-07 04:01:47,56.52,1016.27,0.00,124.57,16.24
839384207,2026-08-07 04:16:47,56.79,1016.41,0.00,125.87,16.25
839385107,2026-08-07 04:31:47,56.96,1016.28,0.00,124.57,16.23
839386007,2026-08-07 04:46:47,56.98,1016.34,0.00,125.38,16.29
839386907,2026-08-07 05:01:47,57.47,1016.27,0.00,124.57,16.14
839387807,2026-08-07 05:16:47,57.88,1016.51,0.00,124.57,16.18
839388707,2026-08-07 05:31:47,58.04,1016.51,0.00,125.22,16.24
839389607,2026-08-07 05:46:47,58.04,1016.49,0.00,125.06,16.23
839390507,2026-08-07 06:01:47,58.87,1016.63,0.00,123.46,16.11
839391407,2026-08-07 06:16:47,59.34,1016.75,0.00,124.89,16.15
839392307,2026-08-07 06:31:47,59.70,1016.74,0.00,124.57,16.32
839393207,2026-08-07 06:46:47,59.30,1016.61,0.00,125.06,16.40
839394107,2026-08-07 07:01:47,59.14,1016.72,0.00,124.25,16.38
839395007,2026-08-07 07:16:47,59.74,1016.79,0.00,124.89,16.28
839395907,2026-08-07 07:31:47,62.57,1016.87,0.00,124.41,16.09
839396807,2026-08-07 07:46:47,64.55,1016.91,0.00,124.25,16.35
839397707,2026-08-07 08:01:47,64.84,1016.84,0.00,124.41,16.39
839398607,2026-08-07 08:16:47,64.16,1017.01,0.00,123.94,16.71
839399507,2026-08-07 08:31:47,62.99,1017.06,0.00,123.46,16.90
839400407,2026-08-07 08:46:47,63.89,1017.14,0.00,123.46,17.23
839401307,2026-08-07 09:01:47,63.79,1017.25,0.00,123.46,17.56
839402207,2026-08-07 09:16:47,62.54,1017.24,0.00,123.15,18.06
839403107,2026-08-07 09:31:47,60.63,1017.36,0.00,121.31,18.44
839404007,2026-08-07 09:46:47,60.34,1017.37,0.00,121.76,18.61
839404907,2026-08-07 10:01:47,59.75,1017.39,0.00,121.76,18.92
839405807,2026-08-07 10:16:47,58.88,1017.47,0.00,120.71,19.05
839406707,2026-08-07 10:31:47,56.89,1017.39,0.00,121.16,19.32
839407607,2026-08-07 10:46:47,55.26,1017.33,0.00,120.41,19.62
839408507,2026-08-07 11:01:47,53.41,1017.26,0.00,120.12,19.70
